"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.148414998E-1,2.101103961E-2,1.073277667E-1,-5.336638913E-2,1.216909396E-1
8.247984999E-1,4.723811895E-2,1.058228165E-1,-5.446787551E-2,1.280494351E-1
8.347564999E-1,7.067278773E-2,1.007393375E-1,-5.758021027E-2,1.358622010E-1
8.447135000E-1,8.501417190E-2,9.775233269E-2,-6.486076117E-2,1.448787297E-1
8.546714999E-1,9.147384018E-2,9.911396354E-2,-6.391227245E-2,1.492508619E-1
8.646284998E-1,8.310485631E-2,1.007185206E-1,-5.850552022E-2,1.430857555E-1
8.745865000E-1,6.530615687E-2,9.844423085E-2,-5.076492578E-2,1.285816410E-1
8.845434999E-1,4.274598882E-2,1.005353481E-1,-4.427773505E-2,1.178774516E-1
8.945014998E-1,1.614411920E-2,1.012715697E-1,-4.036141187E-2,1.102071095E-1
9.044585000E-1,-1.649531722E-2,9.636336565E-2,-4.599186778E-2,1.080427954E-1
9.144164999E-1,-4.574039206E-2,9.373388439E-2,-3.897533193E-2,1.113431679E-1
9.243734998E-1,-7.105613500E-2,8.715747297E-2,-3.748529404E-2,1.185350019E-1
9.343315000E-1,-1.028946638E-1,8.335766941E-2,-3.486712277E-2,1.369362229E-1
9.442884999E-1,-1.296565086E-1,7.812561840E-2,-3.402876109E-2,1.551527604E-1
9.542464998E-1,-1.536536217E-1,7.658328116E-2,-4.074200988E-2,1.764492725E-1
9.642045000E-1,-1.716928184E-1,7.501894236E-2,-4.203443974E-2,1.920238520E-1
9.741614999E-1,-1.828642339E-1,7.528583705E-2,-3.750189394E-2,2.012800967E-1
9.841194998E-1,-1.891391724E-1,7.719665766E-2,-3.332418948E-2,2.069865989E-1
9.940764999E-1,-1.809460521E-1,7.411074638E-2,-2.631602064E-2,1.972977684E-1
1.004034500E0,-1.679993570E-1,6.992984563E-2,-2.038595825E-2,1.831107713E-1
1.013991500E0,-1.493526995E-1,6.291352957E-2,-1.963243261E-2,1.632475833E-1
1.023949500E0,-1.212017536E-1,6.034012139E-2,-1.620041952E-2,1.363570641E-1
1.033906500E0,-9.240908921E-2,6.032566726E-2,-1.903620549E-2,1.119866198E-1
1.043864500E0,-6.244612858E-2,5.602892488E-2,-1.883992925E-2,8.598664043E-2
1.053821500E0,-2.955404483E-2,5.212752521E-2,-1.979400031E-2,6.310723333E-2
1.063779500E0,3.163687885E-3,4.658894986E-2,-1.840409636E-2,5.019213019E-2
1.073736500E0,3.514621779E-2,4.372210056E-2,-1.933447644E-2,5.933549259E-2
1.083694500E0,6.378665566E-2,3.882774711E-2,-1.730594784E-2,7.665394456E-2
1.093651500E0,8.664613962E-2,3.082575835E-2,-1.501726825E-2,9.318422203E-2
1.103609500E0,1.136766970E-1,2.466719970E-2,-1.155249681E-2,1.168944925E-1
1.113566500E0,1.289201081E-1,1.731825620E-2,-6.683323532E-3,1.302496951E-1
1.123524500E0,1.313550323E-1,8.562047966E-3,-1.496817917E-3,1.316422943E-1
1.133482500E0,1.231592521E-1,-3.723045811E-4,6.524029188E-3,1.233324894E-1
1.143439500E0,1.072138399E-1,-4.874644801E-3,1.093981601E-2,1.078807175E-1
